Date,BTC,NYSE,Int_Rate,Gold,Nasdaq
2014-09-17,0.006874308500982543,0.3504643930110103,0.846459489024412,0.42183156518259673,0.0330077809575145
2014-09-18,0.006064500210997616,0.35849364719961696,0.8906443497436064,0.4112837237226798,0.03616733794253291
2014-09-19,0.005334702765303999,0.35299033508855926,0.8266524824951171,0.3932134128635603,0.03584718167279466
2014-09-20,0.005682023628061727,0.35299033508855926,0.8266524824951171,0.3932134128635603,0.03584718167279466
2014-09-21,0.00543379367897842,0.35299033508855926,0.8266524824951171,0.3932134128635603,0.03584718167279466
2014-09-22,0.0055157984667521115,0.33752349848412333,0.7946565488708732,0.3728536579955329,0.03168656109902773
2014-09-23,0.006343946812203677,0.3252018571884474,0.7474244563779402,0.38462794263800454,0.03065230043851752
2014-09-24,0.006034095730241324,0.33640014775809823,0.7992273965314791,0.3772690382442277,0.035228355719545024
2014-09-25,0.005747755913805261,0.31032871836604436,0.710857675093089,0.37702369073608905,0.02596810622460305
2014-09-26,0.005571756310721163,0.32256262964735916,0.7474244563779402,0.36860178551595885,0.030882484740073546
2014-09-27,0.005451001544418622,0.32256262964735916,0.7474244563779402,0.36860178551595885,0.030882484740073546
2014-09-28,0.004901044368865669,0.32256262964735916,0.7474244563779402,0.36860178551595885,0.030882484740073546
2014-09-29,0.0048588481396931674,0.314611444391256,0.680385357355713,0.3598528075212822,0.030182260446528997
2014-09-30,0.005141396871162145,0.3072522426998565,0.7062868274324824,0.3456255220410918,0.030425305243449607
2014-10-01,0.0050594409269165246,0.2862884828466572,0.5463071593112585,0.3448078687228771,0.023496984674333476
2014-10-02,0.004849123280008168,0.2837609826073082,0.5996337153516668,0.349877329107746,0.02361798431671952
2014-10-03,0.004466056143366953,0.2964912000957398,0.6133462583334858,0.32363040330033027,0.02805484686623605
2014-10-04,0.00371159114039985,0.2964912000957398,0.6133462583334858,0.32363040330033027,0.02805484686623605
2014-10-05,0.0035058774883864503,0.2964912000957398,0.6133462583334858,0.32363040330033027,0.02805484686623605
2014-10-06,0.0037414539602163167,0.29840910850486657,0.5798267088223719,0.33368767239319447,0.026872819739260312
2014-10-07,0.0038918251130107342,0.27240624254029044,0.4655555173072123,0.31013898045902694,0.020697185368211635
2014-10-08,0.004304262178200515,0.2981155319929789,0.43508319956983627,0.35372034631006016,0.029533452438291474
2014-10-09,0.004601803927908876,0.2604116802297749,0.4305123519092297,0.3280457835490252,0.021846015316358325
2014-10-10,0.004516524974300612,0.24186369315461942,0.4000400341718537,0.3141455626667667,0.011304173496508252
2014-10-11,0.004534668941712269,0.24186369315461942,0.4000400341718537,0.3141455626667667,0.011304173496508252
2014-10-12,0.004934723040075247,0.24186369315461942,0.4000400341718537,0.3141455626667667,0.011304173496508252
2014-10-13,0.005226823832477445,0.22169464672091932,0.36804410054760905,0.32420276634671114,0.00457391179375527
2014-10-14,0.005484236955687213,0.22475351412158928,0.24615482959810503,0.3305805178297672,0.004836221423436982
2014-10-15,0.005334137027262129,0.2125914388064465,0.06941538672132418,0.33017171978881216,0.0022152161509171875
2014-10-16,0.0050333699552472695,0.21483175139620236,0.16540318759405878,0.33082586533790576,0.0
2014-10-17,0.005062961550694401,0.235066244774214,0.23548951839002324,0.31267377197607354,0.005373701392299479
2014-10-18,0.005252131500927026,0.235066244774214,0.23548951839002324,0.31267377197607354,0.005373701392299479
2014-10-19,0.005205454518140576,0.235066244774214,0.23548951839002324,0.31267377197607354,0.005373701392299479
2014-10-20,0.005040484788138408,0.24732088096377858,0.20806443242638517,0.32469340412668374,0.011220657900428588
2014-10-21,0.005129850842127829,0.2749960730812191,0.24920206137184298,0.326328702586498,0.02206762588295985
2014-10-22,0.00504819017473487,0.25984197973512035,0.2811979949960876,0.30327064843230306,0.019733579701349258
2014-10-23,0.00443909862719701,0.27794804372107884,0.3512843257920521,0.3058871652157577,0.026444550553988144
2014-10-24,0.004437326301375765,0.28805492803574295,0.3482370940183148,0.30327064843230306,0.02962980261944992
2014-10-25,0.004164698542265482,0.28805492803574295,0.3482370940183148,0.30327064843230306,0.02962980261944992
2014-10-26,0.004347689786197135,0.28805492803574295,0.3482370940183148,0.30327064843230306,0.02962980261944992
2014-10-27,0.0043054687905986055,0.28195947646401787,0.32385923982841336,0.29223223460533326,0.030058071804722142
2014-10-28,0.004419428742669986,0.30325514600287207,0.3649968687738718,0.3024530032907034,0.03654740596633915
2014-10-29,0.003877152138050042,0.2982735396521461,0.42441788836175454,0.27849552149219564,0.03482578161471622
2014-10-30,0.0041162980771858575,0.3087299420775491,0.39699280239811646,0.23818480162048078,0.0359061000564872
2014-10-31,0.003944361497380873,0.32992183133875863,0.4427012790041801,0.21291902872378604,0.042069945461672975
2014-11-01,0.003634854511180542,0.32992183133875863,0.4427012790041801,0.21291902872378604,0.042069945461672975
2014-11-02,0.0036383751103397036,0.32992183133875863,0.4427012790041801,0.21291902872378604,0.042069945461672975
2014-11-03,0.0036792911171600155,0.3241247868198498,0.462508285533475,0.2288634687560383,0.043255161588069635
2014-11-04,0.003751621341280891,0.31605081059518114,0.4533665902122619,0.20858543097780408,0.041857954249241935
2014-11-05,0.003973041757282579,0.326582165310356,0.4655555173072123,0.1863450628482835,0.041541039334832386
2014-11-06,0.004214404045360751,0.3296888712302537,0.5036459144789321,0.20793129360532542,0.04269844301793363
2014-11-07,0.00404515038836103,0.33304614568374036,0.4076581136061975,0.24693377961515767,0.04231513374586593
2014-11-08,0.004120803646463259,0.33304614568374036,0.4076581136061975,0.24693377961515767,0.04231513374586593
